question_index,question,refined_answer,question_type,original_ground_truth
0,联合政府成立时大会场屏幕上出现了什么内容？,大会场屏幕上显示：UN 变为 UEG。,场景描述类,"新闻画面： 
联合国秘书长在主席台上宣布联合政府成立。 
联合国名称变更（大会会场屏幕上显示：UN 变为 UEG）。 
各国代表鼓掌握手。"
1,UEG大楼门口示威的人举着牌子上的标语内容有哪些？,“三千万亿！？”，“凭什么让我们出钱？！”，“活在当下”，“不婚不育”，“数字生命”，“快乐/躺平百年”,细节描述类,"示威的人群高举着反对这些计划的标语（注释：标语内容为“三千万亿！？”、 
“凭什么让我们出钱？！”、“活在当下”、“不婚不育”、“数字生 
命”、“快乐/躺平百年”等）。"
2,FRAMER的全称是什么？,FRAMER的全称是Frontline Robotic Augmentation for Military Elite Rangers。,专有名词类,"利伯维尔市郊再次发生武装暴乱，UEG 基地的维和部队带着军用机器人（注 
释：Frontline Robotic Augmentation for Military Elite Rangers, 简称 
FRAMER，中文又称军用机器人），荷枪实弹紧急备战。"
3,22岁的郝晓晞出现在了哪些场次中？,"10、INT.日.纽约 UEG 总部大楼 大会会场/走廊/小会议室
场景描述：紧急会议混乱场景，郝晓晞作为中方代表接到电话，周喆直用表情肃杀的表情接通电话，场次中字卡明确标注""郝晓晞，22岁""",场次定位类,"会场内，一位年轻的中方女代表（郝晓晞，22 岁）接到电话。 
郝晓晞 
（对电话） 
好，明白，您稍等。"
4,马卡洛夫出现在了哪些场次和场景里？,"马卡洛夫出现在场次218（""领航员""空间站 出发大厅）、场次240（""领航员""空间站 舱口）、场次236（""领航员""空间站 舱口）和场次274（""领航员""空间站 食堂/环形走廊）。",场次定位类,"1. **场次240**  
   场景：EXT/INT.无日夜.太空 ""领航员""空间站 舱口

2. **场次218**  
   场景：INT.无日夜.太空 ""领航员""空间站 出发大厅

3. **场次236**  
   场景：EXT/INT.无日夜.太空 ""领航员""空间站 舱口

4. **场次274**  
   场景：INT.无日夜.太空 ""领航员""空间站 食堂/环形走廊"
5,张鹏在那些场次背了枪？枪是什么型号？,"4、EXT.日.利伯维尔 战区废墟（QBZ191半自动步枪）

1**QBZ191半自动步枪**
",物品道具类,"一老一少，两个戴着墨镜飞行员着装的男人出现在战后的街道废墟中。中年 
飞行员（张鹏，44 岁）走在前面，挎上半自动步枪（注释：QBZ191）并拉 
栓上膛，腰间别着水壶和剪钳。年轻飞行员跟在侧后方，他腰间配手枪，拎 
着一个不大的挎包，正四处张望，目光所及，都是饱经战争洗礼的残垣断壁 
和枪林弹雨为各种汽车、建筑留下的弹痕，以及杂草丛生的街道。"
6,哪些场次的场景在非洲？,6、EXT/INT.日.利伯维尔 战区废墟 返航途中/J20C 驾驶舱,场次定位类,"J20C 从战区开始返航，飞越非洲中部的热带雨林和小型城镇。飞过的区域， 
时不时有爆炸、枪声，硝烟四起。"
7,移山计划从什么时间变成了流浪地球计划？变更的相关场次是哪场？,"郝晓晞在主席台上发言。手边的文稿上，原来打印字体写的'移山'计划被钢笔划掉，底下手写着'流浪地球'计划。郝晓晞：...在此...宣布'移山'计划正式更名为'流浪地球'计划。该场景标注时间为：**2058年**（字卡显示\""淡入 字卡：2058\""）\n\n2. **相关场次信息**：\n- 场次ID：98-22\n- 场景名称：INT.日.纽约 UEG 总部大楼 大会会场\n- 场次标题：98、EXT/INT.日/夜.一组蒙太奇 → 98-22、INT.日.纽约 UEG 总部大楼 大会会场\n- 场景摘要：宣布计划更名\n\n3. ",时间年份类,"郝晓晞在主席台上发言。手边的文稿上，原来打印字体写的“移山”计划被 
钢笔划掉，底下手写着“流浪地球”计划。 
郝晓晞 
......在此，邀请我们每一个人共同守护属于我 
们全人类的团结，并请允许我代表中国郑重 
宣布“移山”计划正式更名为“流浪地球” 
计划。"
8,剧本里哪场用到了眼罩？,"**场次：17-4**
- 场景：INT.日.利伯维尔 UEG 基地 第二中心医院
- 内容描述：学员们在排队接受视力体检时，刘培强搞怪将两个眼睛都罩上眼罩，随后被基地医生敲击并要求打开。",物品道具类,"其他学员都很认真配合，只有刘培强搞怪，把两个眼睛都罩上。 
基地医生 
（敲眼罩）（英语） 
打开。"
9,刘培强送给韩朵朵的玫瑰花出现在了哪些场次里？,"**场次ID: 19**
   - 场次名：INT.日.利伯维尔 UEG 基地 太空电梯 02 号轿厢
   - 描述：刘培强在太空电梯驾驶区向韩朵朵赠送玫瑰花，两人互动场景。",场次定位类,"刘培强手捧一束花站在镜前，开始演练送花。时而摆出自信万分的手势，时 
而一脸羞涩尴尬。 
宿舍里其他男学员一开始各玩各的，后面也开始八卦地偷瞄这边的动向。法 
国教官看不下去了，直接亲自上手指导。 
法国教官 
（法语） 
再转十五度就完美了。"
10,刘培强送给韩朵朵的玫瑰花从哪场开始坏了？坏了的状态是什么样？持续了多久？," **玫瑰花开始损坏的场次**： 在 **场景32（INT.日.利伯维尔 UEG 基地 太空电梯 02 号轿厢 - 夺取名牌触发紧急逃生）** 中，假韩朵朵夺走韩朵朵的名牌时，连同刘培强赠送的玫瑰花一并夺走并丢弃。 **花的损坏状态**：   根据文档描述，假韩朵朵将花丢向刘培强，并嘲讽道：""你的表白也太烂了！""。此时玫瑰花处于被丢弃、可能被踩踏或损毁的状态。\ **持续时间**：该状态在后续检索到的文档中未见修复描述，仅在场景63（EXT/INT.日.利伯维尔 UEG 基地 太空电梯/02号轿厢）中提及韩朵朵要求刘培强""把花给我""，但此时花可能已无法恢复。因此，损坏状态至少持续了 **从场景32到场景63**
        ",物品道具类,
11,哪些场次中图恒宇是29岁？,梦中场次，2039年，图恒宇29岁。,场次定位类,"（注释：此时梦中的图恒宇 2039 年时 29 岁的模样，数字生命架构工 
程师，右眼角无伤疤"
12,29岁的图恒宇右眼角有伤疤吗？,29岁的图恒宇右眼角无伤疤。,角色状态类,"（注释：此时梦中的图恒宇 2039 年时 29 岁的模样，数字生命架构工 
程师，右眼角无伤疤"
13,图恒宇第一次出场是哪个场次？,77、 EXT.月球 建设者纪念碑,场次定位类,"（注释：此时梦中的图恒宇 2039 年时 29 岁的模样，数字生命架构工 
程师，右眼角无伤疤"
14,机械狗笨笨的中英文全称是什么？,机械狗笨笨的中文全称是多功能全地形智能运输平台，英文全称是Dynamic Omniterrain Guardian System。,专有名词类,"一只机械狗（昵称：笨笨，中文全称为多功能全地形智能运输平台，英文为 
Dynamic Omniterrain Guardian System, 英文缩写为 DOG）跑"
15,80场的图恒宇右眼角有伤疤吗？,第80场（INT.月球 坎帕努斯 UEG 基地 网络中枢舱）中与图恒宇相关的记录未提及右眼角伤疤,角色状态类,"图恒宇摸了摸胸口，小心翼翼地从脖子上摘下一个造型独特的备份卡（注释：75 
图丫丫数字生命备份卡）。图恒宇用手掌托着备份卡，一脸兴奋，缓缓将备 
份卡插入 550A 顶端的接口，备份卡亮起红光。笔记本的显示器，一个窗口 
弹出（屏幕显示：连接中）。"
16,图恒宇在哪些场次里佩戴了数字生命备份卡？,80、 INT.月球 坎帕努斯 UEG 基地 网络中枢舱,场次定位类,"图恒宇摸了摸胸口，小心翼翼地从脖子上摘下一个造型独特的备份卡（注释：75 
图丫丫数字生命备份卡）。图恒宇用手掌托着备份卡，一脸兴奋，缓缓将备 
份卡插入 550A 顶端的接口，备份卡亮起红光。笔记本的显示器，一个窗口 
弹出（屏幕显示：连接中）。"
17,笨笨在哪些场次中出现了？,"【月球基地相关】
78、INT.月球 坎帕努斯 UEG 基地 休眠区
84、EXT.月球 坎帕努斯 ""逐月""发动机试验场 发动机控制台
85、EXT/INT.月球 ""逐月""试验场返回UEG 基地沿途/轻型月球车
89、EXT/INT.月球 坎帕努斯 UEG 基地 原料采集区至平衡压舱路沿途/轻型月球车甲/轻型月球车乙
90、EXT/INT.月球 坎帕努斯 UEG 基地 平衡压舱外/轻型月球车乙/平衡压舱内
91、INT.月球 坎帕努斯 UEG 基地 平衡压舱

【北京三号行星发动机相关】
159、INT.夜.北京 吊舱运输机
175、EXT/INT.夜.北京 吊舱运输机
176、EXT.夜.北京 北京三号行星发动机 坝外水下 链家附近/坝体
180、EXT.夜.北京 北京三号行星发动机 坝体/坝外水下 根服务器大楼 大门
182、INT.夜.北京 北京三号行星发动机 坝外水下 根服务器大楼 环形走廊
183、INT.夜.北京 北京三号行星发动机 坝外水下 根服务器大楼 配电室
192、INT.夜.北京 北京三号行星发动机 坝外水下 根服务器大楼 悬桥
199、EXT.夜.北京 北京三号行星发动机 坝外水下 根服务器大楼 大门
206、EXT/INT.夜.北京 北京三号行星发动机 坝外空域 吊舱运输机
214、INT.夜.北京 北京三号行星发动机 坝外水下 根服务器大楼 控制室（右）/硬件室（左）
223、INT.夜.北京 北京三号行星发动机 坝外水下 根服务器大楼 控制室
253、INT.夜.北京 坝外水下 根服务器大楼 控制室
257、INT.夜.北京 北京三号行星发动机 坝外水下 根服务器大楼 控制室",场次定位类,"平台上，智能机械狗集群被重新启动，开始进行运输和打印工作。 
马兆 
DOG[多功能全地形智能运输平台]集群启动 
完毕，恢复建材打印。"
18,图恒宇因为什么事件导致了右眼角的伤疤？,图恒宇因自动驾驶货车闯红灯撞车事件导致右眼角的伤疤。,关系查询类,"突然，一辆正在高速行驶的自动驾驶货车闯红灯直接撞向了图恒宇车的后部， 
整车被拦腰撞断，图恒宇所处的车头部分在路上急速打着转，最终撞上路边 
的一辆车停下。 
救护车笛声响起，十字路口的监控摄像头默默注视着这一切。"
19,550系列有哪几个型号？分别出现在了哪些场次中？,"550系列型号与场次对应表
| 型号                | 场次编号 | 场次名称                                                                 |
|---------------------|----------|--------------------------------------------------------------------------|
| 550A                | 1        | INT.日.印度 数字生命研究室                                              |
|                     | 80       | INT.月球 坎帕努斯 UEG 基地 网络中枢舱                                   |
|                     | 87       | INT.月球 坎帕努斯 UEG 基地 网络中枢舱（含子场次多次出现）               |
|                     | 94       | EXT.月球 坎帕努斯 “逐月”发动机试验场 发动机控制台/火石填装区            |
| 550C                | 43       | INT.日.利伯维尔 UEG 基地 太空电梯 控制中心                              |
|                     | 44       | EXT.日.利伯维尔 UEG 基地 无人机控制中心外                              |
|                     | 45       | INT.日.利伯维尔 UEG 基地 无人机控制中心                                |
|                     | 56       | INT.日.利伯维尔 UEG 基地 无人机控制中心（控制台屏幕/显示屏）           |
|                     | 82       | INT.月球 坎帕努斯 UEG 基地 会议室（含计算核心）                        |
|                     | 84       | EXT.月球 坎帕努斯 “逐月”发动机试验场 发动机控制台                      |
|                     | 89       | EXT/INT.月球 坎帕努斯 UEG 基地 原料采集区至平衡压舱路沿途              |
|                     | 90       | EXT/INT.月球 坎帕努斯 UEG 基地 平衡压舱外/轻型月球车乙/平衡压舱内      |
|                     | 92       | INT.月球 坍帕努斯 UEG 基地 会议室                                      |
| 550W                | 105-108  | 北京航天中心（服务器区/面试区走廊/镜屋/评委室）                         |
|                     | 114-116  | 北京航天中心 面试区/镜屋/图丫丫房间                                     |
|                     | 122      | 巴黎 UEG 飞控中心                                                      |
|                     | 176-184  | 北京三号行星发动机 坝体/坝外水下                                        |
|                     | 204      | 北京三号行星发动机 坝外水下 根服务器大楼 控制室                         |
|                     | 223-232  | 北京三号行星发动机 坝外水下 根服务器大楼 控制室（多次出现）            |
|                     | 258-260  | 数字世界 图丫丫房间/UEG 总部大楼/东京/北京等多地（量子计算机主控中心）  |
",专有名词类,"550A 因为过载，冒出浓烟。 
图恒宇 
如果成了，别忘了丫丫。"
20,刘培强哪场和韩朵朵求婚的？,97-15、EXT.夜.利伯维尔 UEG 基地 生活区,场次定位类,"此时，刘培强掏出一枚“戒指”（注释：“戒指”其实就是电磁肌肉的启动 
按键的套环，上面写着“Made in China”）递给韩朵朵，在蓝色火光的映衬 
之下，这枚“戒指”熠熠发光。 
韩朵朵眼含热泪，一脸幸福望着刘培强。"
21,刘培强和韩朵朵求婚的戒指是什么？,刘培强和韩朵朵求婚的戒指是一枚电磁肌肉启动按键的套环，上面写着“Made in China”。,物品道具类,"此时，刘培强掏出一枚“戒指”（注释：“戒指”其实就是电磁肌肉的启动 
按键的套环，上面写着“Made in China”）递给韩朵朵，在蓝色火光的映衬 
之下，这枚“戒指”熠熠发光。 
韩朵朵眼含热泪，一脸幸福望着刘培强。"
22,从什么时候开始计时制由二十四时制改为六十时制？,计时制由二十四时制改为六十时制始于2051年。,时间年份类,"新闻画面： 
由于地球逐步停转，海平面上升，救援队在海里对受灾人群进行救援。 
新闻解说（O.S.） 
随着地球逐步停转，计时制由二十四时制改 
为六十时制...... 
字卡：2051、2052、2053"
23,韩朵朵得了什么病？,"韩朵朵患有辐射癌。根据文档描述，她在病床上接受治疗时被提及患有该病，并且因辐射致癌导致脱发。
",角色状态类,
24,辐射癌在哪场被首次提出？,辐射癌首次在场次 98-17、INT.日.印度尼西亚 医院 中被提出。该场次的元数据显示场景为印度尼西亚的医院病房，新闻画面中提到“日照辐射剧增，导致全球癌症呈爆发式增长”,场次定位类,"新闻画面： 
医院病房里，住满了患辐射癌的病人，医护人员正在悉心照管。109 
新闻解说（O.S.） 
（印尼语） 
日照辐射剧增，导致全球癌症呈爆发式增 
长.."
25,刘启在哪年中签获得地下城资格？,2055年,时间年份类,"字卡：2055 
狭小的客厅里，韩朵朵拿着奶瓶给婴儿床里的刘启喂奶。刘培强坐在餐桌上 
大口地吃面，旁边放着一本航天员训练手册。刘培强收到短信（短信内容显 
示：第 24 次抽签，刘培强，获得入住地下城资格，详细入住方式等待进一步 
通知）。刘培强并未对此信息表现出高兴，反而一脸丧气"
26,韩朵朵从哪场开始是光头？,104、EXT.日.北京 第一人民医院 院落,场次定位类,"嬉闹中，刘启不小心碰掉了韩朵朵（注释：辐射致癌）的假发，露出里面的 
光头，刘培强赶紧给朵朵把假发重新戴好。刘启看到妈妈没有头发的样子， 
一下子呆住了，眼泪吧嗒吧嗒直掉，韩朵朵急忙安慰。"
27,刘培强哪几场穿了西装？,108、INT.日.北京航天中心 面试区走廊,场次定位类,"刘培强落寞地从其中一扇门走出，小心翼翼换脱下西服，收回到袋里，换上 
日常的旧棉服。离开关门时，他习惯性地留了一条门缝。图恒宇、刘培强二 
人擦肩而过，图恒宇看着刘培强离去的落寞背影。"
28,刘培强削的苹果从哪里来的？,"刘培强削的苹果是供给站工作人员递给他的水果。  
场次号：110。",关系查询类,"110.供给站执勤人员（O.S） 
你干什么？请排好队，所有人都在排队！ 
刘培强转身准备走，供给站工作人员又叫住刘培强，递给他一袋水果。 
供给站工作人员 
2044 年立过功？有水果。下一位，拿好啊！
111.在拥挤的六人间病房里,虚弱的韩朵朵躺在病床上，温柔地看着刘培强。刘培 
强坐在病床边的小凳子上，削苹果削得很专注，苹果皮被削得很薄很薄。小 
刘启坐在远处靠墙的凳子上，看着一本书：《太阳..."
29,哪几场戏刘培强和韩朵朵回了上海？, **场次119**   - 标题：INT.夜.上海 韩朵朵家 楼道  - 内容：刘培强背着韩朵朵在楼道寻找家门，最终找到未锁的房门。 **场次120**  - 标题：INT.夜.上海 韩朵朵家 客厅  - 内容：韩朵朵手持手电进入家中，刘培强询问她的状态,场次定位类,
30,逐月发动机爆炸后是什么状态？,逐月发动机爆炸后残余部分飞出月表，碎片在月球周边扩散，形成星环，爆炸产生炙热明亮的红光。（场次130、133、137，月球太空及UEG飞控中心）,角色状态类,"130、EXT.太空 月球 
环形山四周尘埃漫天。 发动机解体爆炸后残余的部分飞出月表，随着爆炸产 
生的灰烬和激起的月尘一起逐渐在月球周边形成一个星环。
133、EXT.太空 月球 
发动机爆炸产生的碎片继续在月球周边扩散，爆炸产生的火光团成一个橘黄 
色的亮点在月表闪耀。
137、INT.夜.巴黎 UEG 飞控中心
飞控中心的工作人员们纷纷抬起头看向大屏幕（UEG 飞控中心的大屏幕显示： 
“..."
31,剧本中哪场用到了拉面？拉面的是哪国人？,场次136-2，布拉柴维尔小餐馆，使用拉面的是厨师，国籍未明确。,场次定位类,"136-2、INT.夜.布拉柴维尔 小餐馆 
食客们正在享用晚餐，刚忙完的餐馆老板到手机上的信息，疑惑地展示给后 
厨正在拉面的厨师。餐馆厨师 
（法语） 
发生什么了？"
32,“逐月”计划方案试验成功是哪年？,2044年,时间年份类,"在 2044 年，“逐月”计划试验 
成功以后，我们曾经提出过一个备用方案： 
在月表以相控阵方式引爆全球核武，触发月 
核聚变，自爆瓦解。在座的有三十三国代表 
收到了和我一样的信息……"
33,点燃月球的备用计划在哪年被提出？,备用计划在2044年被提出。,时间年份类,"在 2044 年，“逐月”计划试验 
成功以后，我们曾经提出过一个备用方案： 
在月表以相控阵方式引爆全球核武，触发月 
核聚变，自爆瓦解。在座的有三十三国代表 
收到了和我一样的信息……"
34,月球危机后，UEG大会会场被改成了什么？里面的大屏幕显示了什么内容？,月球危机后，UEG大会会场被临时改造为指挥中心。大屏幕显示内容包括行星发动机组状态（未联网）、全球根服务器位置的世界地图（北京、东京、杜勒斯三处主根服务器最明显），以及“领航员”空间站无信号的提示。,场景描述类,"会场内部（注释：原 UEG 大会会场，被临时改造为指挥中心）四处散落着纸 
张和线缆，各国的官员、军人、科学家都在其中，都在忙碌地进行着各项准 
备工作。UEG 徽被一个 LED 遮挡了一半，LED 上有一上一下两个醒目红色 
的倒计时，倒计时牌正下方显示着一副世界地图，地图上标注着全球根服务 
器位置，其中北京、东京、杜勒斯三处主根服务器最为明显（左侧的一块屏 
幕上显示：“领航员”空间站-无信..."
35,154场时郝晓晞多少岁？（36岁）,154场剧本原文未提供郝晓晞年龄信息，答案未在剧本中明确给出。,角色状态类,"8-14、EXT.日.利伯维尔 
战火纷飞，烽烟四起的城市鸟瞰。 
解说（V.O.） 
“移山”计划的可行性验证…… 
黑场 
解说（V.O.） 
……迫在眉睫。 
淡入 
字卡：2044 
9、EXT.日.纽约 
一声爆炸划破黑暗，自由女神像立于晨雾缭绕的海中，远方的城市背景隐隐 
冒着浓烟，警笛声及纽约警察在对讲机里的呼救声传来。 
字卡：纽约 
纽约警察（O.S） 
坐标第一大道，这里遭受了..."
36,CER专用雨衣是什么？哪些角色在哪些场次穿了？,"CER专用雨衣的详细信息如下：
**物品描述**  
- 类别：服装（外套）  
- 外观特征：带有CER标识的应急防护雨衣  
**使用记录**  
1. **角色**：马兆  
   **场次**：158场  
   **场景**：EXT.夜.北京航天中心 停机坪  
2. **角色**：图恒宇  
   **场次**：158场  
   **场景**：EXT.夜.北京航天中心 停机坪  ",物品道具类,"马兆、图恒宇身披 CER 专用雨衣（注释：中国应急预案执行组，英文是 China 
Emergency Response, 缩写为 CER）"
37,马兆在遗书里写了什么？,马兆在遗书里反复画了一个莫比乌斯环的符号“∞”。,细节描述类,"后勤人员乙 
还有什么想说的，可以写下来。 
马兆在“遗书”页面反复画着一个莫比乌斯环的符号：“∞”。"
38,刘培强在领航员空间站运输艇呼叫韩子昂和刘启时，刘启几岁了？,刘培强在领航员空间站运输艇呼叫韩子昂和刘启时，刘启的具体年龄并未直接提及。相关线索：（2055年场景）显示刘启尚在婴儿期（韩朵朵用奶瓶喂养）、（医院病房场景）中刘启已能阅读《太阳系的小秘密》，推测年龄在5-7岁左右；,角色状态类,"98-21
字卡：2055 
狭小的客厅里，韩朵朵拿着奶瓶给婴儿床里的刘启喂奶。刘培强坐在餐桌上 
大口地吃面，旁边放着一本航天员训练手册。刘培强收到短信（短信内容显 
示：第 24 次抽签，刘培强，获得入住地下城资格，详细入住方式等待进一步 
通知）。刘培强并未对此信息表现出高兴，反而一脸丧气。
164 
一箱箱核弹被机械臂运送到运输艇上。 
刘培强坐在运输艇（注释：33 号运输艇）驾驶舱副驾驶..."
39,图恒宇等人穿的潜水衣是什么材质的？,潜水衣是铝合金材质的。,物品道具类,"165
徐天龙 
潜水衣是铝合金打造的，重达二百四十公斤，"
40,2058年北京房价大概多少钱一平？,2058年北京房价大概300元/平米。,细节描述类,"爬满藤壶的橱窗中有大量房屋售卖广告，依然可以看到类似“XXX 小区大三 
居原价 15 万元/平米现价 300 元/平米”的招贴。一只原本趴在橱窗上的章鱼 
被灯光刺激，蜷缩游走。"
41,徐天龙受了什么伤？为什么受伤？,徐天龙的头盔被压出裂缝，腿部骨折，原因是他的腿与军用机器人的腿被重压门夹住。,关系查询类,"话音刚落，指令员的手支撑不住，猛地一折。 
与此同时的水下，重压门一下回弹，军用机器人用一条腿撑住，但腿部关节 
一下子被挤压断裂。 
徐天龙的头盔被压出了裂缝（注释：面罩玻璃破损，头盔报废），而且他的 
腿和机器人的腿卡在了一起，明显骨折了。 
徐天龙 
腿！"
42,194场刘培强脸上有伤吗？,194场刘培强脸上有伤，血从他眼前滴下。,角色状态类,"194、EXT/INT.月球 坎帕努斯 废弃基地/33 号运输艇 驾驶舱 
刘培强的主观视角： 
嘶嘶的氧气泄漏声音非常明显。 
刘培强的双眼睁开，他的面罩上裂开一条很长的裂逢，氧气泄漏的声音正是 
从这里传来的。他的面前是撞击变形的运输艇座舱（手臂屏上显示：氧气已 
泄露）。 
血从他的眼前滴下来，他想用手把血擦掉，但是发现隔着面罩无法触碰到自 
己的脸。"
43,马兆在死之前说了什么？,马兆在死之前说：“记住！没有人类的文明……毫无……意义……”,细节描述类,"有最后一组密码！ 
此时，马兆开始溺水，水逐渐没过他的头部。 
马兆 
（被水逐渐淹没） 
记住！没有人类的文明……毫无……意义…… 
图恒宇努力想要救出马兆，潜入水中去拉马兆，可惜还是够不到。 
水下的马兆向图恒宇挥了挥手，做最后的告别。 
马兆被水淹没。"
44,张鹏最后发给刘培强的坐标位置是什么？,"28.32°W, 28.00°S",细节描述类,"核弹布置点 B，张鹏在手臂上输入了一个坐标，是一个坐标位置：28.32° 
W,28.00°S。"
45,张鹏经常对刘培强做的动作是什么？,张鹏经常隔着航天员头盔敲刘培强的脑门三下。,关系查询类,"法国航天员本打算离去继续工作，刚走两步便好像接收到什么请求，无奈地 
转身回到刘培强面前，隔着航天员头盔敲了刘培强的脑门三下。 
刘培强愣住了，瞬间好像看到面前的法国航天员变成了张鹏，他一下反应过 
来这是张鹏在托人给他带信。"
46,引爆月球后，月球是什么状态？,引爆月球后，月球开始瓦解，碎散成巨大碎块，月核聚变开始，月表人类痕迹被消灭。（场次247、248）,角色状态类,"246、冲击波逐一爆开，在月球表面划出一个个半球状的圆环。 
核弹布置点 B，张鹏面对一道冲击波激起的月尘之墙，这堵墙已经彻底遮盖 
了环形山的巨大缺口，向上向下向左向右都无限延伸，逐渐把视野里的地球 
遮盖。 
张鹏 
（喃喃） 
培强啊……地球，还挺美好的…… 
张鹏按下按钮，光芒之墙吞噬了张鹏。 
随着航天员们纷纷按下引爆器，核武器爆炸的冲击波逐渐由外圈向内圈推进。 
爆炸产生了耀眼的光，并..."
47,258场的图恒宇右眼角有伤疤吗？,258场，图恒宇右眼角无伤疤，剧本中未提及有伤疤。,角色状态类,"258、INT.日.数字世界 图丫丫房间 
图丫丫回头，打开房门的正是 27 岁的图恒宇，他身穿数字生命研究所白大褂 
缓步进入房间，面露疑惑，图丫丫立马奔向父亲。 
图丫丫 
爸爸，抱抱！"
48,图恒宇在水下是如何给笔记本电脑做防水措施的？,图恒宇在水下向笔记本电脑等电器上喷防水喷雾，并加裹防水薄膜。（场次223，INT.夜.北京 北京三号行星发动机 坝外水下 根服务器大楼 控制室）,关系查询类,"159、INT.夜.北京 吊舱运输机 
吊装舱内，马兆向团队展示了密钥的使用方式，并小心翼翼放入防水盒中。 
马兆 
发动机的专用网络还未搭建完成，点火的唯 
一的办法只有重启全球互联网。这是重启互 
联网的密钥，密码是实时生成的三万个随机 
数，只有它才能接入互联网，联通全球发动 
机。联通发动机后，由 550W 覆写发动机操 
作系统，统一点火指令。 
图恒宇仍在试图消化着诸多信息，一名后勤人..."
